"Story","Title","Result","Date","Stability","Duration (s)"
"ArticleAdmin","PUT - As admin I have be able prevented to approve an article","SUCCESS","2023-06-26T15:25:05.7807237+07:00[Asia/Jakarta]","0.0","0.24"
"ArticleAdmin","PUT - As admin I have be able to reject an article","SUCCESS","2023-06-26T15:25:06.0338319+07:00[Asia/Jakarta]","0.0","0.17"
"ArticleAdmin","PUT - As admin I have be able prevented to reject an article","SUCCESS","2023-06-26T15:25:06.2131045+07:00[Asia/Jakarta]","0.0","0.24"
"AuthAdmin","POST - As admin I have be able to login to my own system","SUCCESS","2023-06-26T15:25:06.4620457+07:00[Asia/Jakarta]","0.0","0.26"
"AuthAdmin","POST - As admin I have be able to prevented to login","SUCCESS","2023-06-26T15:25:06.7274078+07:00[Asia/Jakarta]","0.0","0.17"
"Auth","POST - As user I have be able to login existing user account","SUCCESS","2023-06-26T15:25:06.9003115+07:00[Asia/Jakarta]","0.0","0.28"
"Auth","POST - As user I have be able to prevented to login","SUCCESS","2023-06-26T15:25:07.1805277+07:00[Asia/Jakarta]","0.0","0.34"
"GetDoctorIdUser","GET - As admin I have be able to get doctor by id i input","SUCCESS","2023-06-26T15:25:07.524488+07:00[Asia/Jakarta]","0.0","0.28"
"GetDoctorIdUser","GET - As admin I have be able to prevented to get doctor by id i input","SUCCESS","2023-06-26T15:25:07.8081874+07:00[Asia/Jakarta]","0.0","0.21"
"SearchArticle","GET - As user I have be able to search article by keyword i input","SUCCESS","2023-06-26T15:25:08.0253789+07:00[Asia/Jakarta]","0.0","0.21"
"SearchArticle","GET - As user I have be able to get blank page for article keyword i input","SUCCESS","2023-06-26T15:25:08.2371735+07:00[Asia/Jakarta]","0.0","0.17"
